Customer ID,Age,City,Zip Code,Latitude,Longitude,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0080-EMYVY,64,Lodi,95240,38.123544,-121.159078,0,None,24.04,12,No,Yes,0,0,336.56,1064.41
0080-OROZO,38,El Portal,95318,37.654551,-119.822984,0,Offer C,36.42,2,Yes,Yes,0,0,1274.7,4806.7
0082-LDZUE,54,Calistoga,94515,38.629618,-122.593216,0,Offer E,42.95,9,No,Yes,0,0,42.95,87.25
0082-OQIQY,50,Farmington,95230,37.956963,-120.863055,0,None,2.05,17,Yes,No,0,20,59.45,2687.05
0083-PIVIK,25,Tulelake,96134,41.813521,-121.492666,0,None,5.49,69,No,No,0,40,351.36,5958.91
0089-IIQKO,35,Coleville,96107,38.42528,-119.475741,1,None,24.38,53,Yes,Yes,0,0,950.82,4718.22
0093-EXYQL,72,Ojai,93023,34.581308,-118.931948,0,None,44.14,23,No,Yes,0,0,1765.6,5439.2
0093-XWZFY,51,Desert Hot Springs,92241,33.832799,-116.250973,0,None,37.69,15,Yes,Yes,0,0,1507.6,5544.45
0094-OIFMO,78,North Hollywood,91605,34.207295,-118.400022,0,Offer D,11.59,29,No,No,0,120,127.49,1367.79
0096-BXERS,30,Inverness,94937,38.099323,-122.945723,10,Offer E,42.66,85,No,Yes,0,0,255.96,570.51
0096-FCPUF,58,Santa Rosa,95404,38.526941,-122.709096,0,None,2.64,15,Yes,Yes,0,0,79.2,1967.65
0098-BOWSO,26,San Jose,95131,37.387027,-121.897775,0,None,20.66,,,,0,0,557.82,1087.62
0100-DUVFC,66,Wilmington,90744,33.782068,-118.262263,3,None,39.49,28,No,Yes,6.11,0,2764.3,10067.14
0103-CSITQ,20,Modesto,95357,37.670526,-120.877572,10,Offer B,8.01,73,Yes,Yes,0,0,456.57,6709.27
0104-PPXDV,61,San Diego,92113,32.697098,-117.116587,10,None,18.37,18,No,Yes,10.23,0,1065.46,3933.78
0106-GHRQR,24,Rancho Palos Verdes,90275,33.753146,-118.367459,0,None,25.71,48,Yes,Yes,0,0,411.36,1623.46
0106-UGRDO,55,Kenwood,95452,38.419525,-122.521585,3,Offer A,38.52,27,Yes,Yes,0,0,2657.88,10840.73
0107-WESLM,32,West Point,95255,38.41935,-120.469545,0,Offer E,31.77,,,,0,0,31.77,51.62
0107-YHINA,59,Los Angeles,90062,34.003553,-118.308933,0,None,40.71,25,Yes,Yes,0,0,40.71,140.46
0111-KLBQG,71,Morongo Valley,92256,34.097863,-116.594561,9,Offer C,31.86,23,Yes,Yes,0,0,1019.52,3880.97
0112-QAWRZ,49,Palo Verde,92266,33.3249,-114.758334,8,Offer D,48.71,12,No,Yes,0,0,779.36,2221.56
0112-QWPNC,61,Valyermo,93563,34.39583,-117.734568,1,Offer B,39.55,10,Yes,Yes,0,0,1937.95,5997.3
0114-IGABW,40,Cambria,93428,35.591387,-121.032256,2,Offer A,,29,Yes,Yes,0,0,0,4145.9
0114-PEGZZ,39,Round Mountain,96084,40.923558,-122.059933,0,None,49.69,12,Yes,Yes,0,0,1639.77,5285.27
0114-RSRRW,21,Klamath,95548,41.572813,-124.035011,9,Offer D,49.6,,,,0,0,496,683.75
0115-TFERT,24,Fresno,93650,36.841655,-119.797113,1,None,36.26,59,Yes,No,0,120,761.46,3198.56
0117-LFRMW,52,Angwin,94508,38.542448,-122.419923,1,None,,23,No,Yes,0,0,0,1448.8
0118-JPNOY,71,Le Grand,95333,37.249377,-120.249581,0,None,33.74,7,No,Yes,0,0,877.24,3070.89
0121-SNYRK,45,Redway,95560,40.142256,-123.852927,0,Offer B,,7,No,Yes,0,0,0,1748.9
0122-OAHPZ,29,San Diego,92122,32.85723,-117.209774,0,None,28.62,26,Yes,Yes,13.03,0,200.34,698.56
0123-CRBRT,62,Monterey Park,91755,34.049172,-118.115022,1,Offer B,47.19,28,Yes,Yes,0,0,2878.59,8405.34
0125-LZQXK,42,Big Oak Flat,95305,37.818589,-120.256995,0,Offer D,45.92,12,Yes,Yes,0,0,688.8,2242.75
0128-MKWSG,51,Stevenson Ranch,91381,34.364153,-118.615583,0,None,,19,Yes,Yes,0,0,0,1147
0129-KPTWJ,39,North Highlands,95660,38.671295,-121.388251,9,None,33.22,23,Yes,Yes,0,0,2391.84,9139.19
0129-QMPDR,64,La Puente,91746,34.038983,-117.991372,1,None,27.4,,,,0,0,1205.6,2070.65
0130-SXOUN,55,Glenhaven,95443,39.045246,-122.743181,0,Offer A,48.78,8,Yes,No,36.02,40,3219.48,9200.36
0133-BMFZO,40,Alhambra,91803,34.074736,-118.145959,0,None,36.81,16,No,Yes,0,0,73.62,255.27
0134-XWXCE,76,Santa Monica,90403,34.031529,-118.491156,0,None,7.72,17,Yes,Yes,17.91,0,339.68,3589.82
0135-NMXAP,57,Lodi,95240,38.123544,-121.159078,0,Offer D,14.38,6,No,Yes,0,0,172.56,1224.96
0136-IFMYD,71,Los Angeles,90001,33.973616,-118.24902,1,None,18.41,17,No,Yes,0,0,1270.29,8904.54
0137-OCGAB,25,Fairfield,94533,38.287136,-122.02711,0,Offer E,1.23,69,No,Yes,0,0,1.23,81.43
0137-UDEUO,24,Stockton,95204,37.974498,-121.319568,0,Offer E,25.75,,,,0,0,77.25,141
0139-IVFJG,19,Temecula,92592,33.507255,-117.029473,10,None,4.65,53,No,Yes,0,0,9.3,199.8
0141-YEAYS,77,Fallbrook,92028,33.362575,-117.299644,0,None,2.97,4,No,Yes,0,0,80.19,2481.24
0142-GVYSN,57,Randsburg,93554,35.405722,-117.773354,0,Offer C,13.34,,,,0,0,346.84,858.09
0147-ESWWR,73,Atascadero,93422,35.453912,-120.69461,9,None,20.15,21,Yes,Yes,0,0,785.85,4735
0148-DCDOS,41,Planada,95365,37.329725,-120.306399,0,None,34.88,8,Yes,Yes,0,0,872,3234.1
0151-ONTOV,43,Moorpark,93021,34.312945,-118.858169,0,Offer E,39.81,23,No,Yes,0,0,39.81,110.71
0156-FVPTA,48,Solvang,93463,34.624399,-120.137875,1,Offer D,27.24,21,No,Yes,0,0,599.28,1751.98
0164-APGRB,56,Calistoga,94515,38.629618,-122.593216,0,Offer A,48.37,5,Yes,Yes,0,0,3482.64,11979.34
0164-XAIRP,51,La Mirada,90638,33.902045,-118.008961,0,None,10.64,,,,0,0,255.36,725.56
0168-XZKBB,34,Boron,93516,34.95703,-117.73045,8,None,7.84,16,No,Yes,0,0,148.96,1713.36
0174-QRVVY,21,San Marcos,92078,33.119028,-117.166036,2,None,9.2,,,,0,0,653.2,2500.75
0177-PXBAT,78,Desert Center,92239,33.889605,-115.257009,7,None,25.15,20,No,Yes,0,0,829.95,4524.65
0178-CIIKR,60,Crows Landing,95313,37.435664,-121.049056,0,None,2.69,,,,0,0,8.07,66.07
0178-SZBHO,54,Tuolumne,95379,37.939768,-120.188002,7,None,1.09,13,No,Yes,0,0,51.23,4068.68
0181-RITDD,42,San Diego,92120,32.807867,-117.060993,2,None,1.76,20,Yes,Yes,0,0,109.12,6934.77
0186-CAERR,22,Auburn,95603,38.912881,-121.082766,0,None,2.88,48,Yes,Yes,0,0,204.48,8514.03
0187-QSXOE,71,Fresno,93725,36.623632,-119.741322,8,None,41.97,11,Yes,Yes,0,0,293.79,899.24
0187-WZNAB,56,Del Rey,93616,36.657462,-119.595293,6,Offer C,46.66,28,No,Yes,0,0,1259.82,3232.17
0188-GWFLE,33,Redwood City,94065,37.527497,-122.230941,0,None,1.81,,,,0,0,3.62,37.32
0191-EQUUH,32,Landers,92285,34.341737,-116.539416,0,Offer C,,75,No,Yes,0,0,0,844.45
0191-ZHSKZ,80,Hawthorne,90250,33.914775,-118.348083,0,None,38.61,5,No,Yes,0,0,1158.3,3269.6
0193-ESZXP,73,Oceano,93445,35.059695,-120.604741,1,None,16.94,19,Yes,Yes,0,0,982.52,7188.02
0195-IESCP,26,Armona,93202,36.315979,-119.710852,1,Offer D,2.02,82,Yes,No,0,100,20.2,975.5
0196-JTUQI,59,Clarksburg,95612,38.384648,-121.578701,0,None,9.27,28,No,Yes,0,0,83.43,717.28
0196-VULGZ,78,Irvine,92620,33.716136,-117.752574,1,None,28.71,17,No,Yes,0,0,172.26,647.16
0197-PNKNK,47,Scotts Valley,95066,37.070177,-122.010077,7,None,38.92,16,No,No,0,40,2685.48,8574.08
0201-MIBOL,68,Salida,95368,37.713152,-121.08739,0,None,10.45,20,Yes,Yes,0,0,689.7,7161.55
0201-OAMXR,30,Mckinleyville,95519,40.965011,-124.015255,0,Offer A,10.21,52,Yes,Yes,0,0,714.7,8842.3
0203-HHYIJ,62,Atherton,94027,37.454924,-122.203168,0,Offer C,5.57,,,,0,0,139.25,815.6
0206-OYVOC,52,Huntington Beach,92649,33.721917,-118.043237,1,Offer B,24.33,,,,0,0,1119.18,1983.38
0206-TBWLC,63,Calimesa,92320,33.982787,-117.057627,7,Offer B,11.4,26,Yes,Yes,0,0,615.6,6665.1
0207-MDKNV,54,Daly City,94014,37.691561,-122.445202,0,None,22.39,7,Yes,Yes,0,0,335.85,1918.6
0208-BPQEJ,48,Middletown,95461,38.787446,-122.58675,0,Offer D,8.25,,,,0,0,99,297.1
0212-ISBBF,51,Berkeley,94705,37.858898,-122.240512,0,None,,22,Yes,Yes,0,0,0,1098.85
0214-JHPFW,22,Lost Hills,93249,35.637715,-119.893068,9,None,,85,Yes,Yes,1.01,0,0,4038.29
0215-BQKGS,52,Garden Grove,92844,33.766476,-117.969795,0,Offer C,24.73,20,No,No,0,130,741.9,3310.5
0218-QNVAS,22,Indio,92203,33.752938,-116.230055,1,Offer A,28.34,59,Yes,Yes,16.99,0,2012.14,9108.9
0219-QAERP,33,Oxnard,93033,34.156629,-119.117218,2,None,9.81,,,,0,0,294.3,870.95
0219-YTZUE,26,San Diego,92122,32.85723,-117.209774,5,Offer E,28.77,19,Yes,Yes,0,0,115.08,486.98
0220-EBGCE,58,Escondido,92027,33.141265,-116.967221,0,Offer E,14.14,28,Yes,Yes,0,0,28.28,195.58
0221-NAUXK,22,Moreno Valley,92553,33.923149,-117.244933,0,None,7.86,,,,0,0,78.6,298.1
0221-WMXNQ,66,Chino,91710,33.990646,-117.663025,0,Offer E,36.4,29,No,Yes,0,0,145.6,419
0222-CNVPT,69,Sacramento,95820,38.53508,-121.444144,0,Offer B,,19,Yes,Yes,0,0,0,2555.05
0224-HJAPT,25,San Diego,92117,32.825086,-117.199424,0,None,22.01,85,Yes,Yes,0,0,110.05,333.2
0224-NIJLP,30,Turlock,95380,37.474396,-120.875917,1,Offer E,2.87,,,,0,0,22.96,188.46
0224-RLWWD,73,Calexico,92231,32.690654,-115.431225,0,Offer E,23.91,22,No,Yes,0,0,47.82,137.12
0225-ZORZP,46,Groveland,95321,37.902968,-119.667544,0,Offer E,13.72,26,Yes,Yes,0,0,41.16,276.21
0228-MAUWC,40,Los Gatos,95033,37.160194,-121.945611,0,Offer D,11.85,18,No,Yes,0,0,225.15,1369.75
0229-LFJAF,53,Clovis,93611,36.917652,-119.593757,0,Offer A,3.66,13,No,Yes,0,0,263.52,5171.77
0230-UBYPQ,76,Hyampom,96046,40.648024,-123.465088,2,Offer B,,7,No,Yes,0,0,0,2298.9
0230-WEQUW,38,Woodland Hills,91364,34.153733,-118.593408,1,None,,29,No,Yes,0,0,0,3789.2
0231-LXVAP,23,Temecula,92592,33.507255,-117.029473,0,None,44.56,27,No,Yes,0,0,44.56,120.46
0233-FTHAV,24,Livingston,95334,37.361987,-120.748394,0,None,15.29,48,No,Yes,0,0,917.4,5682.4
0234-TEVTT,43,Tulare,93274,36.185471,-119.375243,3,None,,22,Yes,Yes,0,0,0,2196.3
0235-KGSLC,45,Buellton,93427,34.631362,-120.238218,0,Offer E,33.34,4,No,Yes,0,0,33.34,118.89
0236-HFWSV,49,Palmdale,93552,34.557711,-118.029441,0,None,48.93,15,Yes,Yes,0,0,733.95,2178.6
0237-YFUTL,62,Midway City,92655,33.744439,-117.98588,4,Offer B,34.57,13,Yes,Yes,0,0,1728.5,7134.3
0238-WHBIQ,25,Folsom,95630,38.672638,-121.147403,10,Offer A,33.75,30,Yes,Yes,0,0,2430,8769.3
0239-OXEXL,37,Oakland,94619,37.787186,-122.14633,0,None,43.27,21,No,No,0,100,1990.42,5938.02
0244-LGNFY,35,San Anselmo,94960,37.99272,-122.575026,4,None,30,19,Yes,Yes,0,0,2160,8893
0247-SLUJI,37,Duarte,91010,34.145695,-117.95982,2,None,34.28,,,,0,0,34.28,53.98
0248-IPDFW,19,Lake Elsinore,92530,33.655421,-117.391751,0,None,29.13,51,No,Yes,0,0,29.13,79.23
0248-PGHBZ,69,San Clemente,92672,33.429488,-117.609432,0,Offer A,2.57,21,No,Yes,0,0,172.19,6313.04
0253-ZTEOB,44,Los Angeles,90004,34.076259,-118.310715,5,None,8.94,27,Yes,Yes,0,0,429.12,4299.42
0254-FNMCI,19,Downey,90241,33.940884,-118.128628,0,None,41.91,73,Yes,Yes,0,0,3017.52,10641.72
0254-KCJGT,64,Bodega Bay,94923,38.377165,-123.037957,6,Offer B,41.34,24,Yes,Yes,0,0,2149.68,6504.13
0254-WWRKD,44,Challenge,95925,39.461768,-121.195825,1,Offer A,46.9,28,No,Yes,0,0,3142.3,6574.05
0256-LTHVJ,58,Ludlow,92338,34.702766,-116.093376,1,Offer C,16.85,13,Yes,Yes,0,0,471.8,2698.9
0257-KXZGU,29,Santa Clara,95051,37.348129,-121.98469,9,Offer C,33.28,51,Yes,Yes,0,0,1064.96,3110.51
0257-ZESQC,80,Perris,92571,33.828289,-117.201666,2,None,7.02,25,No,Yes,0,0,189.54,2118.89
0258-NOKBL,22,Fortuna,95540,40.584991,-124.121504,0,None,31.48,73,Yes,Yes,0,0,94.44,362.89
0259-GBZSH,22,San Diego,92122,32.85723,-117.209774,0,Offer E,40.43,27,Yes,Yes,0,0,80.86,262.36
0260-ZDLGK,50,San Dimas,91773,34.102119,-117.815532,0,None,35.49,11,Yes,Yes,0,0,319.41,970.81
0263-FJTQO,53,Rescue,95672,38.724322,-120.991237,10,Offer B,44.49,28,No,Yes,0,0,2224.5,5711.15
0264-CNITK,45,Clio,96106,39.745805,-120.580882,1,None,31.03,,,,0,0,2203.13,3592.73
0265-EDXBD,76,San Diego,92122,32.85723,-117.209774,2,Offer C,47.34,10,No,Yes,0,0,1514.88,3818.23
0265-PSUAE,57,Lotus,95651,38.815515,-120.916997,10,Offer D,27.27,76,Yes,Yes,0,0,436.32,1959.02
0266-CLZKZ,45,San Marcos,92078,33.119028,-117.166036,8,Offer A,17.79,22,Yes,Yes,0,0,1191.93,7909.83
0266-GMEAO,43,Lompoc,93436,34.601055,-120.382917,1,None,15.94,13,Yes,Yes,0,0,1147.68,9206.23
0268-QKIWO,41,Pilot Hill,95664,38.803731,-121.043799,0,Offer E,24.63,,,,0,0,73.89,132.74
0269-XFESX,22,San Francisco,94133,37.802071,-122.411004,1,None,48.02,,,,0,0,1104.46,1642.96
0270-THENM,62,Mission Hills,91345,34.266389,-118.459744,1,None,28.37,18,No,Yes,25.24,0,2042.64,7119.75
0274-JKUJR,21,Los Angeles,90040,33.994524,-118.149953,9,Offer E,,47,Yes,Yes,0,0,0,465.7
0277-BKSQP,49,Harbor City,90710,33.798266,-118.300237,10,Offer E,1.56,57,No,Yes,0,0,12.48,487.58
0277-ORXQS,33,San Francisco,94108,37.791998,-122.408653,9,Offer A,,23,Yes,No,0,110,0,3474.55
0278-YXOOG,30,Inglewood,90301,33.956445,-118.358634,0,Offer E,34.26,,,,0,0,171.3,285.15
0280-XJGEX,38,Los Angeles,90015,34.039224,-118.266293,0,None,44.33,11,Yes,Yes,0,0,2172.17,7208.47
0281-CNTZX,56,Pescadero,94060,37.22565,-122.297533,2,Offer B,38.36,,,,0,0,2416.68,3651.48
0282-NVSJS,70,Aromas,95004,36.878364,-121.629781,1,Offer D,,14,No,Yes,0,0,0,355.9
0285-INHLN,54,Badger,93603,36.64545,-118.924982,5,None,36.19,53,No,Yes,0,0,977.13,2487.43
0289-IVARM,57,Parlier,93648,36.622237,-119.521126,0,None,44.81,20,No,Yes,0,0,1568.35,3550.95
0292-WEGCH,40,Death Valley,92328,36.27688,-117.033326,7,Offer B,4.33,12,Yes,Yes,0,0,233.82,4757.87
0295-PPHDO,56,La Puente,91744,34.031441,-117.936436,0,None,5.59,2,Yes,Yes,0,0,5.59,101.04
0295-QVKPB,38,Riverdale,93656,36.452211,-119.94575,0,Offer E,13.96,5,No,Yes,0,0,69.8,387.9
0297-RBCSG,61,San Francisco,94104,37.791222,-122.402241,0,None,41.79,6,Yes,No,0,60,794.01,2085.86
0298-XACET,35,Berry Creek,95916,39.657228,-121.37778,1,None,,17,No,Yes,27.01,0,0,2526.99
0301-FIDRB,61,Fulton,95439,38.493888,-122.777141,8,None,,22,Yes,Yes,0,0,0,4684.3
0301-KOBTQ,50,Capitola,95010,36.977025,-121.952864,0,None,14.91,,,,9.73,0,477.12,1081.84
0302-JOIVN,47,San Diego,92109,32.787836,-117.232376,1,None,16.88,6,Yes,Yes,0,0,135.04,977.94
0303-UNCIP,35,Claremont,91711,34.127621,-117.717863,0,Offer B,37.55,30,Yes,No,0,140,1539.55,4211.35
0303-WMMRN,32,Glendale,91207,34.182378,-118.262922,0,None,21.01,,,,0,0,105.05,191.1
0305-SQECB,54,Gardena,90248,33.876482,-118.284077,0,None,,17,No,No,0,100,0,502.6
0306-JAELE,61,Fallbrook,92028,33.362575,-117.299644,0,None,31.09,11,Yes,Yes,0,0,155.45,608.85
0307-BCOPK,62,San Francisco,94134,37.721052,-122.413573,0,Offer D,41.51,,,,0,0,664.16,990.81
0308-GIQJT,80,San Diego,92126,32.886925,-117.152162,0,None,6.1,9,No,Yes,0,0,433.1,7815.95
0308-IVGOK,23,Santa Ana,92703,33.748635,-117.906125,0,None,,59,No,Yes,0,0,0,422.6
0310-MVLET,63,Snelling,95369,37.521708,-120.426843,1,None,49.33,7,Yes,Yes,0,0,3009.13,9019.18
0310-SUCIN,50,Darwin,93522,36.319181,-117.593053,2,None,23.06,6,Yes,Yes,0,0,1637.26,7683.36
0310-VQXAM,56,San Bernardino,92404,34.183286,-117.221722,0,None,40.74,,,,0,0,366.66,545.46
0311-QYWSS,63,Garberville,95542,40.057784,-123.679461,0,None,39.16,8,No,Yes,0,0,234.96,549.56
0311-UNPFF,58,Long Beach,90807,33.830099,-118.182239,0,None,38.09,22,Yes,No,0,50,990.34,3314.69
0314-TKOSI,29,Upland,91784,34.141146,-117.655583,0,Offer E,6.98,30,No,No,0,0,41.88,364.78
0315-LVCRK,54,El Dorado Hills,95762,38.684437,-121.055634,0,None,30.57,15,Yes,Yes,0,0,336.27,1225.02
0318-QUUOB,25,Santa Rosa,95403,38.488431,-122.752839,1,None,43.67,73,Yes,No,0,0,43.67,124.22
0318-ZOPWS,31,Malibu,90265,34.074572,-118.831181,10,None,2.82,,,,0,0,138.18,1111.53
0319-QZTCO,25,Santa Rosa,95401,38.460517,-122.790335,9,Offer E,11.47,51,No,Yes,0,0,34.41,203.01
0320-DWVTU,46,Riverdale,93656,36.452211,-119.94575,0,Offer B,43.57,13,Yes,Yes,0,0,2309.21,7733.46
0320-JDNQG,28,Oxnard,93035,34.18454,-119.224666,1,None,37.95,27,Yes,Yes,0,0,872.85,3204.15
0322-CHQRU,63,Palmdale,93591,34.598221,-117.79593,0,None,25.49,9,No,Yes,0,0,50.98,140.48
0322-YINQP,37,Covina,91723,34.084747,-117.886844,0,None,11.35,9,No,Yes,0,0,11.35,59.9
0323-XWWTN,44,San Lucas,93954,36.125529,-120.864443,0,None,33.87,,,,0,0,101.61,222.86
0324-BRPCJ,74,Palmdale,93591,34.598221,-117.79593,1,None,21.33,24,Yes,Yes,0,0,1450.44,8302.09
0325-XBFAC,44,Hoopa,95546,41.163637,-123.704841,0,None,19.49,10,Yes,No,0,80,155.92,976.22
0326-VDYXE,21,Long Beach,90802,33.752524,-118.210737,9,Offer A,16.66,26,Yes,No,0,80,1166.2,8228.7
0327-WFZSY,62,Samoa,95564,40.809636,-124.189977,9,Offer C,17.29,75,Yes,Yes,0,0,674.31,4509.86
0328-GRPMV,43,Burnt Ranch,95527,40.854512,-123.450097,0,None,17.37,25,No,Yes,0,0,17.37,87.47
0329-GTIAJ,40,Garden Grove,92844,33.766476,-117.969795,0,None,30.18,7,Yes,Yes,0,0,90.54,405.84
0330-BGYZE,48,Milford,96121,40.181279,-120.392967,8,Offer B,19.22,4,Yes,Yes,0,0,1153.2,7310.8
0330-IVZHA,55,Anderson,96007,40.448632,-122.306657,1,Offer E,17.08,10,No,Yes,0,0,85.4,415.55
0334-GDDSO,77,San Diego,92122,32.85723,-117.209774,0,Offer E,9.22,14,No,Yes,0,0,27.66,261.36
0334-ZFJSR,41,San Diego,92123,32.808814,-117.134694,0,None,35.38,13,No,No,44.53,150,1945.9,5513.47
0336-KXKFK,43,Santa Margarita,93453,35.303926,-120.256567,0,None,,6,Yes,Yes,0,0,0,4390.25
0336-PIKEI,69,Orange,92869,33.792791,-117.789749,7,Offer A,5.27,9,No,No,0,140,379.44,5880.19
0337-CNPZE,63,Los Angeles,90033,34.050198,-118.210946,0,None,10.43,22,Yes,No,0,130,427.63,5001.08
0343-QLUZP,38,San Jose,95111,37.284265,-121.827673,0,Offer B,,25,No,Yes,38.46,0,0,2386.04
0345-HKJVM,43,San Diego,92109,32.787836,-117.232376,0,None,2.6,22,Yes,Yes,0,0,15.6,593.2
0345-XMMUG,29,Ione,95640,38.33788,-120.954202,6,None,2,48,Yes,Yes,0,0,92,4946.3
0347-UBKUZ,46,San Mateo,94404,37.556094,-122.272437,0,None,2.74,,,,0,0,41.1,361.55
0348-SDKOL,33,San Diego,92117,32.825086,-117.199424,1,None,3.51,28,Yes,No,0,100,203.58,6188.98
0354-VXMJC,60,Los Angeles,90034,34.030578,-118.399613,10,None,34.04,,,,0,0,782.92,1209.57
